Position,GC,MluCI,NlaIII
123000,41.25,4,0
123400,37.25,2,1
123800,40.5,3,2
124200,39.0,2,0
124600,38.5,4,1
125000,37.0,2,1
125400,31.5,5,0
125800,38.25,3,1
126200,33.75,6,2
126600,36.25,5,3
127000,43.75,1,1
127400,42.25,2,2
127800,39.5,4,3
128200,44.75,4,1
128600,44.0,2,2
129000,41.0,2,2
129400,44.0,3,0
129800,47.25,2,1
130200,39.25,7,1
130600,40.5,2,4
131000,46.0,2,4
131400,40.25,2,0
131800,46.75,0,1
132200,44.25,5,0
132600,41.25,1,0
133000,37.0,5,0
133400,44.25,2,1
133800,42.25,2,1
134200,35.25,2,1
134600,43.5,2,2
135000,45.5,4,3
135400,38.5,3,0
135800,40.25,3,1
136200,36.25,8,0
136600,39.25,2,2
137000,39.25,1,0
137400,40.25,1,3
137800,40.0,3,1
138200,39.25,3,3
138600,44.75,2,1
139000,41.0,1,2
139400,44.5,3,2
139800,32.0,7,1
140200,27.25,5,0
140600,27.5,8,0
141000,26.5,7,0
141400,30.25,4,4
141800,30.25,7,0
142200,30.75,5,2
142600,33.5,7,0
143000,35.25,4,0
143400,29.5,6,0
143800,30.75,3,0
144200,31.0,3,0
144600,36.0,2,0
145000,31.75,8,2
145400,27.0,4,1
145800,24.75,5,2
146200,34.25,8,0
146600,29.0,5,2
147000,31.0,2,0
147400,24.25,5,0
147800,25.0,3,0
148200,32.0,1,1
148600,39.5,2,1
149000,40.5,4,1
149400,44.5,1,0
149800,41.25,2,2
150200,43.25,1,4
150600,48.5,0,3
151000,39.25,2,0
151400,32.75,4,1
151800,43.0,3,1
152200,45.0,3,2
152600,41.25,1,2
153000,41.0,2,2
153400,34.0,6,2
153800,40.75,4,0
154200,45.0,2,1
154600,40.5,3,0
155000,38.0,1,2
155400,34.75,0,1
155800,45.75,3,3
156200,49.0,1,0
156600,35.75,3,0
157000,35.25,6,0
157400,40.5,1,2
157800,36.75,4,1
158200,36.0,6,1
158600,38.0,4,0
159000,31.5,8,1
159400,35.5,4,0
159800,30.75,8,0
160200,42.25,2,0
160600,43.5,0,1
161000,43.0,2,3
161400,43.75,3,1
161800,43.25,2,1
162200,42.5,1,1
162600,37.25,5,2
163000,39.5,3,1
163400,43.25,4,4
163800,40.75,2,1
164200,44.25,3,1
164600,41.0,3,0
165000,46.5,1,0
165400,39.25,2,2
165800,42.0,3,4
166200,43.0,1,0
166600,35.25,4,1
167000,37.5,3,2
167400,44.0,4,4
167800,42.0,2,5
168200,43.75,1,1
168600,47.75,0,1
169000,42.5,1,2
169400,44.75,4,2
169800,33.25,5,1
170200,45.75,5,1
170600,41.5,2,1
171000,44.25,2,7
171400,41.5,3,0
171800,36.25,4,0
172200,38.0,2,1
172600,36.75,2,1
173000,41.25,2,2
173400,39.75,1,1
173800,39.0,1,0
174200,46.25,0,3
174600,40.5,5,0
175000,42.75,1,3
175400,42.5,1,3
175800,42.25,0,1
176200,41.25,0,1
176600,41.75,1,1
177000,40.0,2,0
177400,44.75,2,2
177800,41.5,1,3
178200,42.5,1,1
178600,42.5,4,1
179000,41.75,2,1
179400,38.75,2,2
179800,39.75,6,2
180200,43.5,1,1
180600,35.75,7,0
181000,42.75,6,0
181400,39.0,2,0
181800,42.25,2,4
182200,37.0,4,1
182600,38.25,5,0
183000,42.5,2,0
183400,41.25,2,1
183800,38.5,1,2
184200,40.5,4,2
184600,46.25,2,1
185000,40.25,4,2
185400,41.5,3,0
185800,41.0,2,0
186200,36.5,7,2
186600,41.0,4,1
187000,40.75,0,1
187400,35.5,4,0
187800,37.5,2,3
188200,36.0,5,1
188600,38.25,6,1
189000,45.25,1,0
189400,41.75,3,2
189800,42.5,4,0
190200,38.25,2,2
190600,35.75,4,1
191000,38.0,2,3
191400,33.5,8,0
191800,43.25,1,1
192200,41.75,2,2
192600,41.75,1,4
193000,41.25,1,2
193400,39.5,2,2
193800,38.75,4,0
194200,44.0,3,0
194600,33.75,6,1
195000,42.5,5,1
195400,39.75,4,4
195800,41.75,4,0
196200,35.75,4,0
196600,44.5,3,2
197000,42.0,3,2
197400,44.0,1,2
197800,34.25,0,5
198200,39.5,4,1
198600,40.25,3,1
199000,43.25,4,1
199400,38.25,3,0
199800,39.75,4,1
200200,37.5,1,1
200600,44.5,2,2
201000,36.25,5,0
201400,38.75,1,1
201800,43.5,3,2
202200,41.5,4,4
202600,39.0,3,0
203000,42.25,3,0
203400,44.75,0,2
203800,42.0,2,1
204200,46.0,0,0
204600,38.75,2,0
205000,44.0,2,2
205400,38.75,3,0
205800,37.0,2,5
206200,30.25,7,1
206600,36.75,3,3
207000,36.0,3,0
207400,42.0,2,2
207800,44.0,1,0
208200,40.5,4,1
208600,39.25,2,1
209000,34.75,1,0
209400,42.25,2,2
209800,37.75,2,2
210200,38.5,4,0
210600,40.25,4,3
211000,42.0,3,0
211400,44.0,0,4
211800,40.5,1,2
212200,36.5,3,0
212600,39.25,6,1
213000,32.75,7,1
213400,39.75,0,0
213800,38.5,2,2
214200,41.25,1,4
214600,34.75,3,0
215000,45.25,2,1
215400,39.75,4,1
215800,35.75,2,0
216200,33.0,5,1
216600,44.5,4,2
217000,43.75,2,1
217400,43.25,1,0
217800,38.75,2,1
218200,43.5,3,1
218600,39.75,5,3
219000,44.0,4,3
219400,42.25,1,0
219800,38.5,4,0
220200,43.75,2,3
220600,44.0,4,1
221000,40.25,3,0
221400,38.25,12,0
221800,41.75,4,1
222200,39.0,5,2
222600,43.25,3,2
223000,37.25,4,1
223400,34.75,8,3
223800,39.5,5,0
224200,44.5,1,1
224600,38.75,7,8
225000,41.25,3,1
225400,46.75,5,4
225800,42.75,1,5
226200,39.75,6,1
226600,41.5,1,2
227000,41.25,1,4
227400,35.75,3,0
227800,45.0,1,2
228200,38.0,4,0
228600,41.75,8,2
229000,35.5,3,1
229400,44.25,4,1
229800,44.0,3,0
230200,43.0,3,0
230600,38.75,3,4
231000,40.75,2,1
231400,42.5,1,1
231800,39.0,3,1
232200,44.5,1,2
232600,40.25,1,1
233000,44.75,1,4
233400,36.5,5,1
233800,40.25,2,2
234200,37.75,3,1
234600,42.0,1,2
235000,40.75,4,2
235400,45.0,4,3
235800,39.25,4,1
236200,40.75,5,0
236600,32.0,5,0
237000,36.5,8,1
237400,39.75,4,2
237800,40.25,3,3
238200,42.75,2,3
238600,46.25,3,2
239000,36.75,4,0
239400,40.5,2,2
239800,39.25,1,1
240200,41.0,5,1
240600,43.25,4,2
241000,43.5,2,1
241400,40.25,2,2
241800,35.0,3,0
242200,41.0,1,2
242600,40.5,2,1
243000,33.5,4,0
243400,30.25,3,0
243800,28.5,8,1
244200,29.0,4,0
244600,26.75,6,1
245000,33.5,6,1
245400,32.5,5,0
245800,31.5,6,3
246200,31.0,11,1
246600,31.75,4,2
247000,32.0,4,4
247400,30.75,5,0
247800,35.75,2,0
248200,29.75,6,2
248600,32.5,6,3
249000,32.5,4,0
249400,34.0,4,0
249800,31.0,5,0
250200,27.5,9,0
250600,31.0,4,0
251000,23.5,12,3
251400,35.5,2,0
251800,43.75,1,1
252200,31.5,4,0
252600,29.75,6,0
253000,26.75,7,0
253400,29.25,3,0
253800,29.5,5,0
254200,25.5,5,1
254600,40.25,1,1
255000,46.25,2,3
255400,42.5,3,1
255800,38.25,1,3
256200,30.0,3,0
256600,43.0,1,1
257000,40.0,1,2
257400,26.75,5,1
257800,30.0,5,0
258200,28.25,11,2
258600,32.25,3,1
259000,27.25,3,0
259400,32.25,4,0
259800,37.25,3,0
260200,35.75,7,3
260600,47.25,2,1
261000,48.75,1,2
261400,43.25,2,1
261800,45.0,3,0
262200,49.75,0,1
262600,45.0,1,0
263000,40.0,4,2
263400,37.5,3,2
263800,28.0,5,1
264200,32.0,2,1
264600,39.0,2,2
265000,38.75,4,2
265400,34.75,3,1
265800,41.0,4,0
266200,43.25,2,1
266600,43.0,2,0
267000,37.5,2,2
267400,35.5,2,1
267800,41.75,3,2
268200,49.0,3,1
268600,45.0,1,2
269000,36.25,5,1
269400,44.25,1,0
269800,32.75,6,0
270200,41.0,2,1
270600,45.5,4,0
271000,40.0,3,2
271400,43.75,1,0
271800,40.75,0,1
272200,40.5,2,1
272600,37.0,2,0
273000,42.25,1,2
273400,45.25,3,3
273800,40.75,3,3
274200,43.25,0,5
274600,41.25,4,2
275000,47.5,2,1
275400,42.25,3,1
275800,36.0,5,0
276200,34.25,5,2
276600,40.25,3,0
277000,44.0,2,0
277400,43.25,2,2
277800,49.75,1,2
278200,44.75,2,1
278600,45.0,3,0
279000,32.0,2,1
279400,38.25,6,2
279800,47.0,2,1
280200,38.0,6,1
280600,44.25,1,2
281000,44.5,3,1
281400,41.5,2,0
281800,49.5,1,1
282200,38.75,4,3
282600,45.5,1,3
283000,42.5,2,1
283400,43.75,3,2
283800,42.75,3,1
284200,38.5,3,1
284600,35.25,6,2
285000,40.75,4,0
285400,39.0,2,1
285800,41.0,3,0
286200,44.5,0,1
286600,43.5,2,0
287000,45.5,6,3
287400,42.75,0,4
287800,41.0,1,2
288200,38.0,3,2
288600,44.5,1,0
289000,47.0,2,1
289400,43.0,5,1
289800,45.25,4,2
290200,47.5,2,2
290600,42.75,1,2
291000,42.25,5,3
291400,42.0,1,5
291800,44.5,1,4
292200,37.75,5,3
292600,46.0,4,3
293000,39.75,2,1
293400,34.25,1,0
293800,39.5,5,1
294200,41.75,3,0
294600,45.0,0,2
295000,46.5,4,1
295400,42.5,2,3
295800,46.0,3,1
296200,45.5,3,1
296600,44.25,1,1
297000,43.25,5,3
297400,44.5,0,2
297800,44.0,2,2
298200,47.0,1,0
298600,39.0,1,3
299000,42.75,3,0
299400,42.0,1,2
299800,39.75,1,0
300200,39.75,0,0
300600,40.0,2,1
301000,37.75,4,0
301400,27.25,6,0
301800,37.5,1,0
302200,40.75,1,2
302600,44.25,1,2
303000,41.0,5,0
303400,42.5,2,2
303800,43.75,3,1
304200,43.75,1,1
304600,41.25,2,1
305000,46.25,0,1
305400,45.0,2,7
305800,50.0,2,5
306200,45.75,4,1
306600,44.5,1,2
307000,44.0,2,2
307400,46.25,3,5
307800,42.0,1,1
308200,38.0,7,1
308600,45.5,3,2
309000,42.75,4,1
309400,46.25,1,2
309800,42.25,2,1
310200,42.25,4,2
310600,43.25,5,0
311000,39.0,2,2
311400,40.5,2,4
311800,44.75,4,0
312200,39.25,2,0
312600,38.5,4,2
313000,41.75,1,3
313400,35.5,1,2
313800,36.5,3,1
314200,39.25,6,2
314600,40.75,2,1
315000,35.75,0,0
315400,31.0,5,1
315800,37.25,3,1
316200,37.5,3,1
316600,36.75,3,3
317000,30.75,7,1
317400,33.5,8,1
317800,36.0,6,0
318200,36.25,3,1
318600,42.0,0,0
319000,33.5,5,1
319400,46.25,5,2
319800,44.5,1,1
320200,42.25,3,1
320600,44.75,4,1
321000,44.25,3,4
321400,43.0,2,0
321800,43.0,1,2
322200,44.0,2,2
322600,42.5,4,1
323000,41.25,3,1
323400,42.25,6,1
323800,45.0,4,0
324200,43.25,2,1
324600,42.75,4,4
325000,43.75,1,2
325400,41.5,2,2
325800,41.5,1,2
326200,39.75,2,2
326600,41.75,2,2
327000,46.75,6,2
327400,38.25,2,1
327800,39.75,3,0
328200,41.25,5,0
328600,35.75,5,1
329000,30.5,6,0
329400,29.0,8,1
329800,27.5,7,0
330200,26.0,8,2
330600,26.0,8,0
331000,27.75,9,1
331400,24.0,9,1
331800,25.5,12,2
332200,28.5,6,1
332600,26.75,9,0
333000,45.0,0,4
333400,41.0,1,0
333800,42.5,4,1
334200,28.5,8,0
334600,28.5,2,0
335000,42.0,2,2
335400,38.25,1,2
335800,40.75,1,2
336200,40.25,3,3
336600,48.25,3,0
337000,42.0,2,0
337400,38.25,8,0
337800,37.0,5,0
338200,42.0,3,0
338600,39.25,2,1
339000,38.0,3,1
339400,34.5,8,0
339800,27.5,6,0
340200,24.75,10,0
340600,34.25,8,5
341000,41.75,4,4
341400,43.0,3,0
341800,42.75,2,1
342200,46.75,1,2
342600,42.25,2,5
343000,38.5,4,3
343400,38.25,7,2
343800,40.75,3,2
344200,45.5,0,1
344600,44.5,2,2
345000,41.5,3,3
345400,35.0,2,1
345800,44.5,3,0
346200,43.5,3,0
346600,39.25,2,2
347000,39.25,3,0
347400,41.25,3,0
347800,37.0,1,0
348200,37.5,4,0
348600,43.5,1,5
349000,46.25,1,1
349400,43.25,4,1
349800,39.75,3,1
350200,40.25,2,3
350600,38.75,1,1
351000,34.25,3,3
351400,33.0,6,1
351800,41.0,1,2
352200,43.25,1,1
352600,42.75,3,5
353000,40.0,3,1
353400,42.5,3,4
353800,44.0,2,0
354200,43.0,0,5
354600,40.0,5,1
355000,46.0,2,3
355400,45.75,1,2
355800,41.25,3,1
356200,45.0,6,2
356600,44.25,2,2
357000,44.75,3,2
357400,42.0,2,1
357800,47.5,1,1
358200,46.0,0,2
358600,43.75,0,1
359000,33.5,8,1
359400,35.75,3,0
359800,39.0,2,4
360200,34.25,9,1
360600,34.0,1,2
361000,29.75,8,2
361400,41.25,3,1
361800,36.75,3,1
362200,36.25,3,1
362600,33.0,6,1
363000,38.25,4,4
363400,36.75,1,4
363800,44.25,1,4
364200,38.5,2,2
364600,32.75,5,0
365000,35.75,5,1
365400,40.0,1,1
365800,39.0,3,3
366200,37.75,2,0
366600,37.25,3,0
367000,31.75,4,0
367400,43.5,2,0
367800,37.0,6,0
368200,34.75,6,0
368600,31.0,3,0
369000,37.5,3,2
369400,33.25,4,0
369800,33.25,2,0
370200,41.5,1,0
370600,42.5,2,2
371000,44.25,3,2
371400,43.25,1,1
371800,44.25,4,1
372200,37.0,3,0
372600,38.25,3,2
373000,42.5,7,3
373400,37.5,2,4
373800,37.0,5,3
374200,44.25,1,1
374600,41.25,4,3
375000,44.5,1,1
375400,43.25,3,0
375800,42.75,1,2
376200,40.25,3,0
376600,37.25,3,1
377000,41.5,2,2
377400,38.5,2,2
377800,28.0,3,0
378200,30.25,10,0
378600,33.75,7,0
379000,35.25,3,0
379400,37.0,3,2
379800,34.25,1,0
380200,38.5,0,3
380600,35.5,3,0
381000,32.0,9,0
381400,42.75,2,2
381800,45.25,1,2
382200,37.75,4,0
382600,40.0,5,0
383000,44.0,2,2
383400,44.75,2,2
383800,39.5,2,0
384200,41.25,3,0
384600,42.5,2,0
385000,45.25,3,1
385400,45.0,1,0
385800,43.25,3,1
386200,43.25,0,1
386600,43.25,3,2
387000,38.25,2,1
387400,42.5,3,2
387800,38.0,4,0
388200,43.75,1,0
388600,43.0,4,0
389000,45.75,1,2
389400,39.5,3,1
389800,41.5,3,4
390200,44.25,1,2
390600,38.0,2,1
391000,38.25,6,0
391400,46.5,2,4
391800,38.0,4,1
392200,42.5,5,1
392600,40.5,3,0
393000,39.25,2,0
393400,39.0,3,1
393800,39.0,3,2
394200,29.25,5,0
394600,39.25,4,0
395000,37.75,5,3
395400,41.25,2,2
395800,45.5,4,0
396200,45.0,2,6
396600,48.0,1,2
397000,46.25,0,3
397400,34.0,5,0
397800,38.25,4,0
398200,32.0,7,1
398600,44.0,2,2
399000,41.25,4,2
399400,41.75,3,3
399800,36.5,3,2
400200,35.5,5,0
400600,38.0,1,1
401000,42.25,0,2
401400,38.0,3,0
401800,41.0,5,1
402200,30.5,8,0
402600,50.0,1,4
403000,45.5,3,2
403400,41.5,5,0
403800,38.5,7,2
404200,38.0,0,2
404600,44.5,4,1
405000,41.0,3,1
405400,37.25,4,3
405800,43.25,5,0
406200,38.75,1,1
406600,41.0,3,3
407000,40.25,2,1
407400,41.25,2,0
407800,42.0,2,3
408200,42.0,0,2
408600,37.0,5,1
409000,28.75,8,0
409400,33.0,5,0
409800,34.75,1,2
410200,40.0,3,0
410600,43.0,2,0
411000,43.0,4,1
411400,34.75,2,1
411800,38.75,3,2
412200,42.75,5,1
412600,38.75,5,1
413000,41.75,5,6
413400,45.0,0,2
413800,41.75,3,2
414200,42.0,3,0
414600,43.5,3,1
415000,41.75,1,1
415400,36.0,3,0
415800,34.75,6,1
416200,25.75,5,1
416600,44.0,2,1
417000,37.0,2,1
417400,41.25,1,3
417800,41.5,5,2
418200,43.25,5,2
418600,41.0,2,2
419000,40.0,5,2
419400,41.5,4,2
419800,39.0,5,2
420200,49.5,1,2
420600,42.25,4,0
421000,34.5,9,3
421400,40.0,1,3
421800,46.5,1,0
422200,38.0,2,3
422600,46.0,4,0
423000,44.5,2,1
423400,41.0,5,1
423800,45.5,1,3
424200,44.75,3,1
424600,44.25,4,0
425000,48.0,3,2
425400,37.75,6,1
425800,39.0,4,1
426200,42.5,4,4
426600,41.5,2,1
427000,39.75,4,2
427400,44.0,6,1
427800,42.75,1,1
428200,41.5,2,1
428600,44.75,4,2
429000,47.75,1,3
429400,44.0,2,2
429800,41.25,4,0
430200,38.75,1,1
430600,33.0,3,0
431000,37.0,4,1
431400,39.0,2,0
431800,40.25,3,2
432200,37.5,2,4
432600,33.75,5,2
433000,39.5,1,0
433400,40.0,5,1
433800,39.5,5,3
434200,42.75,2,0
434600,37.75,5,3
435000,40.75,2,1
435400,41.75,1,2
435800,33.0,3,4
436200,38.0,2,0
436600,33.75,4,0
437000,37.75,4,3
437400,40.25,1,2
437800,41.25,1,2
438200,39.5,3,3
438600,41.75,3,0
439000,40.5,4,2
439400,40.75,5,1
439800,40.75,4,3
440200,37.5,1,2
440600,29.5,7,0
441000,30.75,2,0
441400,37.5,4,0
441800,32.75,4,1
442200,41.0,3,3
442600,41.75,2,1
443000,37.0,4,0
443400,44.5,1,1
443800,42.25,2,2
444200,39.5,4,3
444600,43.5,4,0
445000,38.25,5,1
445400,36.25,5,1
445800,28.25,5,0
446200,43.0,2,0
446600,43.0,2,3
447000,43.25,2,2
447400,44.75,4,2
447800,42.0,1,0
448200,33.25,5,0
448600,41.25,1,2
449000,43.5,1,3
449400,42.75,5,0
449800,41.5,2,0
450200,42.75,1,2
450600,40.0,2,0
451000,31.5,1,2
451400,35.75,3,0
451800,28.5,13,0
452200,44.25,1,1
452600,35.75,3,0
453000,28.75,5,2
453400,29.75,4,1
453800,45.25,2,2
454200,44.25,1,2
454600,42.75,3,0
455000,44.25,0,4
455400,44.75,0,3
455800,41.25,4,0
456200,35.0,4,2
456600,45.75,1,2
457000,42.5,2,0
457400,40.0,2,0
457800,39.25,3,1
458200,46.0,1,2
458600,42.0,4,0
459000,48.75,1,5
459400,41.75,7,0
459800,38.75,1,1
460200,42.75,1,2
460600,41.5,3,2
461000,39.25,5,4
461400,42.25,2,1
461800,42.5,2,2
462200,43.5,4,3
462600,38.75,1,1
463000,43.0,0,1
463400,37.0,6,1
463800,39.0,2,1
464200,38.0,1,0
464600,37.0,0,1
465000,28.75,3,3
465400,31.5,6,1
465800,40.25,4,3
466200,40.25,1,3
466600,44.75,3,2
467000,43.0,5,1
467400,41.75,6,3
467800,40.25,2,0
468200,43.75,0,2
468600,32.75,2,2
469000,35.75,4,0
469400,40.0,1,1
469800,38.5,3,2
470200,45.0,0,4
470600,41.5,1,2
471000,41.25,0,0
471400,38.25,3,1
471800,44.0,2,0
472200,40.25,4,0
472600,38.25,2,0
473000,35.25,5,1
473400,37.25,3,0
473800,43.0,3,0
474200,33.5,5,0
474600,34.5,7,1
475000,30.25,5,0
475400,39.5,6,1
475800,44.75,2,1
476200,41.75,4,0
476600,39.25,0,1
477000,43.0,4,2
477400,43.0,2,0
477800,45.0,1,1
478200,43.0,3,1
478600,44.5,3,2
479000,42.5,5,3
479400,43.75,3,1
479800,43.25,2,3
480200,43.75,5,1
480600,43.5,3,1
481000,42.25,4,0
481400,46.0,1,0
481800,42.25,4,0
482200,41.25,3,2
482600,41.5,2,3
483000,41.25,3,1
483400,43.75,4,1
483800,31.0,4,0
484200,35.5,0,0
484600,37.0,2,0
485000,36.0,5,0
485400,36.25,1,1
485800,38.5,1,3
486200,35.75,2,1
486600,38.5,2,1
487000,40.75,3,0
487400,46.25,1,1
487800,37.0,2,1
488200,35.25,3,1
488600,40.5,1,0
489000,41.0,6,0
489400,40.75,2,1
489800,38.5,3,1
490200,39.5,2,2
490600,43.5,1,3
491000,40.75,6,1
491400,38.5,3,3
491800,41.5,2,2
492200,35.25,2,1
492600,40.75,1,0
493000,40.75,1,3
493400,38.5,3,2
493800,42.0,2,0
494200,40.25,2,0
494600,40.75,5,3
495000,39.75,2,3
495400,45.0,1,2
495800,35.75,3,2
496200,25.5,6,1
496600,42.0,4,1
497000,41.5,4,2
497400,43.0,5,1
497800,35.0,8,2
498200,32.75,6,0
498600,41.25,4,2
499000,44.0,3,4
499400,41.25,0,2
499800,44.0,4,2
500200,39.75,1,0
500600,33.25,4,2
501000,44.25,5,1
501400,42.75,2,1
501800,43.25,1,0
502200,45.5,2,1
502600,40.5,2,0
503000,33.25,6,0
503400,39.75,4,0
503800,40.25,1,1
504200,34.75,4,1
504600,37.75,2,5
505000,41.5,5,2
505400,40.5,2,3
505800,44.0,0,1
506200,43.75,5,0
506600,39.75,3,1
507000,26.5,6,1
507400,36.5,4,1
